"Day","Hubbard Park Drive"
"2022-02-23",""
"2022-02-24",""
"2022-02-25","79"
"2022-02-26","248"
"2022-02-27","206"
"2022-02-28","137"
"2022-03-01","164"
"2022-03-02","220"
"2022-03-03","222"
"2022-03-04","168"
"2022-03-05","168"
"2022-03-06","191"
"2022-03-07","137"
"2022-03-08","107"
"2022-03-09","123"
"2022-03-10","120"
"2022-03-11","183"
"2022-03-12","74"
"2022-03-13","197"
"2022-03-14","209"
"2022-03-15","174"
"2022-03-16","161"
"2022-03-17","178"
"2022-03-18","114"
"2022-03-19","147"
"2022-03-20","160"
"2022-03-21","126"
"2022-03-22","133"
"2022-03-23","212"
"2022-03-24","112"
"2022-03-25","148"
"2022-03-26","176"
"2022-03-27","170"
"2022-03-28","128"
"2022-03-29","150"
"2022-03-30","195"
"2022-03-31","131"
"2022-04-01","123"
"2022-04-02","174"
"2022-04-03","185"
"2022-04-04","205"
"2022-04-05","189"
"2022-04-06","192"
"2022-04-07","153"
"2022-04-08","117"
"2022-04-09","129"
"2022-04-10","154"
"2022-04-11","230"
"2022-04-12","178"
"2022-04-13","175"
"2022-04-14","207"
