"Day","Hubbard Park Drive"
"2022-03-18","114"
"2022-03-19","147"
"2022-03-20","160"
"2022-03-21","126"
"2022-03-22","133"
"2022-03-23","212"
"2022-03-24","112"
"2022-03-25","148"
"2022-03-26","176"
"2022-03-27","170"
"2022-03-28","128"
"2022-03-29","150"
"2022-03-30","195"
"2022-03-31","131"
"2022-04-01","123"
"2022-04-02","174"
"2022-04-03","185"
"2022-04-04","205"
"2022-04-05","189"
"2022-04-06","192"
"2022-04-07","153"
"2022-04-08","117"
"2022-04-09","129"
"2022-04-10","154"
"2022-04-11","230"
"2022-04-12","178"
"2022-04-13","175"
"2022-04-14","207"
"2022-04-15","153"
"2022-04-16","137"
"2022-04-17","153"
"2022-04-18",""
