"Day","State House Path IR"
"2022-03-18","23"
"2022-03-19","5"
"2022-03-20","9"
"2022-03-21","8"
"2022-03-22","11"
"2022-03-23","19"
"2022-03-24","3"
"2022-03-25","11"
"2022-03-26","7"
"2022-03-27","11"
"2022-03-28","6"
"2022-03-29","3"
"2022-03-30","14"
"2022-03-31","9"
"2022-04-01","2"
"2022-04-02","16"
"2022-04-03","10"
"2022-04-04","9"
"2022-04-05","29"
"2022-04-06","26"
"2022-04-07","5"
"2022-04-08","1"
"2022-04-09","4"
"2022-04-10","5"
"2022-04-11","17"
"2022-04-12","11"
"2022-04-13","4"
"2022-04-14","2"
"2022-04-15","6"
"2022-04-16","3"
"2022-04-17","7"
"2022-04-18",""
